40,41,42,43,44,45,46,47,
56,57,58,59,60,61,62,63,
0,1,2,3,4,5,6,7,
88,89,90,91,92,93,94,95,
56,57,58,59,60,61,62,63,
0,1,2,3,4,5,6,7,
8,9,10,11,12,13,14,15,62,63,
8,9,10,11,12,13,14,15,62,63,
49,56,57,58,59,60,61,62,63,
88,89,90,91,92,93,94,95,
72,73,74,75,76,77,78,79,
0,1,2,3,4,5,6,7,
32,33,34,35,36,37,38,39,
88,89,90,91,92,93,94,95,
10,11,12,13,14,59,60,61,
50,56,57,58,59,60,61,62,63,
24,25,26,27,28,29,30,31,
16,17,18,19,20,21,22,23,
56,57,58,59,60,61,62,63,
64,65,66,67,68,69,70,71,
56,57,58,59,60,61,62,63,
17,56,57,58,59,60,61,62,63,
88,89,90,91,92,93,94,95,
50,56,57,58,59,60,61,62,63,
0,1,2,3,4,5,6,7,
8,9,10,11,12,13,14,60,61,62,
8,9,10,11,12,13,14,15,62,63,
50,56,57,58,59,60,61,62,63,
8,9,10,11,12,13,14,15,62,63,
24,25,26,27,28,29,30,31,
40,41,42,43,44,45,46,47,
56,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
88,89,90,91,92,93,94,95,
40,41,42,43,44,45,46,47,
56,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
16,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
48,58,59,60,61,64,
8,9,10,11,12,13,14,15,62,63,
14,15,60,61,
8,9,10,11,12,13,14,15,62,63,
8,9,10,11,12,13,14,15,62,63,
10,11,12,13,14,59,60,61,
10,11,12,13,14,59,60,61,
12,13,14,15,43,
8,9,10,11,12,13,14,15,62,63,
56,57,58,59,60,61,62,63,
48,59,60,61,62,63,65,
16,56,57,58,59,60,
56,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
10,11,57,95,
11,12,57,94,95,
58,59,60,61,62,63,67,
16,56,57,58,59,60,61,62,63,
50,56,57,58,59,60,61,62,63,
17,56,57,58,59,60,61,62,63,
0,1,2,3,4,5,6,7,
0,1,2,3,4,5,6,7,
0,1,2,3,4,5,6,7,
56,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
0,1,2,3,4,5,6,7,
56,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
18,51,60,61,62,63,
80,81,82,83,84,85,86,87,
80,81,82,83,84,85,86,87,
48,49,50,51,52,53,54,55,
48,49,50,51,52,53,54,55,
24,25,26,27,28,29,30,31,
48,49,50,51,52,53,54,55,
48,49,50,51,52,53,54,55,
48,49,50,51,52,53,54,55,
32,33,34,35,36,37,38,39,
64,65,66,67,68,69,70,71,
88,89,90,91,92,93,94,95,
16,17,18,19,20,21,22,23,
16,17,18,19,20,21,22,23,
16,17,18,19,20,21,22,23,
56,57,58,59,60,61,62,63,
56,57,58,59,60,61,62,63,
17,49,92,93,94,95,
88,89,90,91,92,93,94,95,
72,73,74,75,76,77,78,79,
88,89,90,91,92,93,94,95,
64,65,66,67,68,69,70,71,
64,65,66,67,68,69,70,71,
16,17,18,19,20,21,22,23,
18,19,49,64,
16,49,89,90,
72,73,74,75,76,77,78,79,
64,65,66,67,68,69,70,71,
60,61,62,63,88,89,
19,26,52,61,62,63,
