64.06515471,-21.96590212,47.30074545
70.04225777,-17.47597634,46.01851401
70.06539578,-17.55246319,45.99263735
66.07540666,-25.93717583,47.70889692
62.83665094,-17.63811229,40.81110731
65.40002628,-21.94950527,47.60246050
60.47829023,-15.29841073,51.10551700
60.35953787,-24.87707051,41.68077989
68.81848148,-21.19105812,48.99539754
66.13406426,-25.96678379,47.78540456
68.35936052,-26.34338929,48.56702484
64.14829761,-21.75732458,47.36847584
65.14017084,-21.89458091,47.42033614
67.27926054,-21.57297266,43.50721347
65.64280610,-21.82246201,47.91598143
68.09462337,-21.47524695,42.39232855
67.94806277,-21.33727436,42.56871036
